produto,Unnamed: 1,prediction
amendoa castanhas brasil 200g,,"(('__label__doces', '__label__laticínios,manteiga', '__label__laticínios,requeijão', '__label__legumes,cogumelo', '__label__chocolates,chocolate'), array([0.10903765, 0.0475523 , 0.0327153 , 0.02559246, 0.02413827]))"
batida limao joinville 700ml,,"(('__label__destilados,cachaça', '__label__destilados,licor', '__label__sucos,suco', '__label__sucos,xarope', '__label__destilados,vodka'), array([0.15032819, 0.09308399, 0.04739688, 0.03505632, 0.03222848]))"
tum energy drink 275ml,,"(('__label__cervejas,cerveja', '__label__cozinha,copo', '__label__suplementos', '__label__cabelo,shampoo', '__label__destilados,cachaça'), array([0.53275055, 0.13025428, 0.07275942, 0.04806354, 0.04742739]))"
balao liso t.7 verde kele c/25,,"(('__label__utensílios', '__label__conveniências,vela', '__label__papelaria,papel', '__label__cozinha,copo', '__label__jardinagem,vaso'), array([0.23608866, 0.04522288, 0.04424618, 0.04359262, 0.03599602]))"
tampa para embalagem pp 235x153mm c/400,,"(('__label__utensílios', '__label__cozinha,tigela', '__label__cozinha,pote', '__label__cozinha,copo', '__label__cabelo,acessórios'), array([0.04129506, 0.03756908, 0.03472629, 0.0225392 , 0.02195028]))"
vela estrela rosa naº 6 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cozinha,prato', '__label__embalagens'), array([0.95906627, 0.0159084 , 0.00254797, 0.00128532, 0.00114734]))"
vela estrela rosa naº 8 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cozinha,prato', '__label__papelaria,caneta'), array([9.74583685e-01, 1.34833567e-02, 7.27138075e-04, 6.47538167e-04,
       5.73112571e-04]))"
vela estrela rosa naº 9 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__embalagens', '__label__cozinha,prato'), array([9.72113192e-01, 1.23046441e-02, 1.88471307e-03, 1.23402453e-03,
       9.28508351e-04]))"
vela estrela azul naº 6 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__utensílios'), array([0.95385295, 0.01770419, 0.00334905, 0.00211625, 0.00160041]))"
vela estrela azul naº 8 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__papelaria,caneta', '__label__bebê,chupeta', '__label__utensílios'), array([9.70416069e-01, 1.50226401e-02, 1.82691473e-03, 9.54588875e-04,
       8.35831626e-04]))"
vela estrela azul naº 9 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__papelaria,caneta', '__label__embalagens'), array([0.96827924, 0.01371387, 0.00248013, 0.00155523, 0.00147229]))"
vela estrela rosa naº 3 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cozinha,forma', '__label__cozinha,prato'), array([0.94180572, 0.01557753, 0.00314622, 0.00172169, 0.0016657 ]))"
vela estrela rosa naº 4 kele c/1,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__bebê,chupeta', '__label__cozinha,prato', '__label__utensílios'), array([0.95930862, 0.01423089, 0.00184811, 0.00104963, 0.00097277]))"
kimarc elastico chato n 10 c 1 ref 3467,,"(('__label__papelaria,pasta', '__label__papelaria,estojo', '__label__papelaria,pincel', '__label__jardinagem,vaso', '__label__cães,coleira'), array([0.0515133 , 0.0323437 , 0.02196326, 0.02126424, 0.01822688]))"
kit set cozinha de plastico 1un 04270235 un 1 un,,"(('__label__cozinha,faca', '__label__cozinha,colher', '__label__cozinha,cortador', '__label__papelaria,pasta', '__label__cozinha,utensílios'), array([0.03136503, 0.02740427, 0.02492859, 0.01758341, 0.01610846]))"
boneca garota bonita 1un 042800001 un 1 un,,"(('__label__papelaria,pincel', '__label__conveniências,vela', '__label__corpo,bucha', '__label__cabelo,pente', '__label__cozinha,forma'), array([0.01559774, 0.01537399, 0.01410471, 0.01409912, 0.01366199]))"
snacks ipet dog beer bifinho carne e leite para caes filhotes - 60 g,,"(('__label__cães,ração', '__label__cães,""ração', '__label__gatos,ração', '__label__cães,guia', '__label__cães,bifinho'), array([0.08899695, 0.04764423, 0.02697903, 0.01661765, 0.0125963 ]))"
muffin padaria pet sabor laranja para caes - 30 g,,"(('__label__ingredientes', '__label__gatos,ração', '__label__cães,ração', '__label__confeitaria,mistura', '__label__cães,petisco'), array([0.03266013, 0.02373803, 0.01522235, 0.01060361, 0.00858016]))"
bifinhos em palitos padaria pet salmao com linhaca para gatos - 50 g,,"(('__label__gatos,ração', '__label__gatos,pet', '__label__frutas', '__label__confeitaria,mistura', '__label__cães,""guia'), array([0.0129844 , 0.0088188 , 0.00824765, 0.00676124, 0.00578616]))"
mini sticks petitos sabor carne com leite para caes - 350 g,,"(('__label__cães,ração', '__label__cães,osso', '__label__confeitaria,mistura', '__label__cães,guia', '__label__cães,peitoral'), array([0.06595592, 0.02707664, 0.02155627, 0.01766877, 0.01765351]))"
squeeze astronautica 300ml 174 un 1 un,,"(('__label__cozinha,garrafa', '__label__cozinha,copo', '__label__cozinha,caneca', '__label__utensílios', '__label__cozinha,pote'), array([0.24910292, 0.1990585 , 0.10532678, 0.09147818, 0.06585054]))"
kit casinha moveis plastico 1un sk042702 un 1 un,,"(('__label__utensílios', '__label__papelaria,pincel', '__label__jardinagem,vaso', '__label__cozinha,pote', '__label__cozinha,porta'), array([0.04573597, 0.0231331 , 0.01922349, 0.01598478, 0.01403671]))"
caneco destak craqueado n12 c cabo 1un un 1 un,,"(('__label__cabelo,pente', '__label__cozinha,faca', '__label__cabelo,escova', '__label__cozinha,caçarola', '__label__cozinha,frigideira'), array([0.02550776, 0.02305666, 0.01583667, 0.01366573, 0.01288487]))"
bolo bamboo nata goiaba 720g un 720 g,,"(('__label__biscoitos', '__label__pães,pão', '__label__confeitaria,mistura', '__label__ingredientes', '__label__doces'), array([0.18600281, 0.05404592, 0.04772706, 0.03294357, 0.01675241]))"
bolo bamboo laranja 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__ingredientes', '__label__pães,pão', '__label__farmácia'), array([0.04181033, 0.02115594, 0.01968002, 0.01504928, 0.0077338 ]))"
bolo bamboo limao 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__pães,pão', '__label__cozinha,forma', '__label__pães,pao', '__label__ingredientes'), array([0.03374643, 0.02204892, 0.01834236, 0.00885179, 0.00829243]))"
bolo bamboo tradicional 720g un 720 g,,"(('__label__pães,pão', '__label__confeitaria,mistura', '__label__cozinha,forma', '__label__pães,pao', '__label__arroz,arroz'), array([0.08486629, 0.06379829, 0.03556516, 0.02227757, 0.01230673]))"
bolo bamboo formigueiro 720g un 720 g,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03035555, 0.02870165, 0.01805849, 0.00716244, 0.00636545]))"
bolo bamboo chocolate 720g un 720 g,,"(('__label__confeitaria,mistura', '__label__cozinha,forma', '__label__ingredientes', '__label__pães,pão', '__label__chocolates,ovo'), array([0.11745892, 0.04466743, 0.01510705, 0.01319994, 0.00772086]))"
bolo bamboo mesclado 720g un 720 g,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__pães,pão', '__label__pães,pao', '__label__cães,osso'), array([0.03569146, 0.03264284, 0.01813701, 0.00709719, 0.00617362]))"
farinha de mandioca da roca amarela 1kg,,"(('__label__peixes,filé', '__label__farináceos', '__label__grãos,milho', '__label__peixes,file', '__label__cabelo,creme'), array([0.10341263, 0.09038586, 0.08121888, 0.05037105, 0.02623884]))"
pd pao forma fatiado bokitus 400g,,"(('__label__pães,pão', '__label__pães,pao', '__label__pães,pães', '__label__arroz,arroz', '__label__vegetais'), array([0.16963676, 0.07908501, 0.03160013, 0.01371822, 0.01293538]))"
vela aib copo 100g citronela amarela,,"(('__label__conveniências,vela', '__label__conveniências,velas', '__label__embalagens', '__label__conveniências,cola', '__label__ovos,ovo'), array([9.99035597e-01, 6.26434805e-04, 4.84605698e-05, 2.89054915e-05,
       1.77060083e-05]))"
tempero sabor ami 300g.c/alho e sal,,"(('__label__temperos', '__label__sopas', '__label__aperitivos', '__label__lanches', '__label__achocolatados'), array([0.96212208, 0.00509272, 0.00487259, 0.00303574, 0.00277759]))"
